LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rruskies,"I HOPE WE DONT RUN INTO ANY RUSKIES TODAY.",pilot
STRM_Rgame,"HOW WAS THE GAME LAST NIGHT?",pilot
STRM_Rdontthink,"I DONT THINK WERE GOING TO FIND ANYTHING, SEEMS REAL QUIET TODAY.",pilot
STRM_Rbored,"MAN, AM I BORED...",pilot
STRM_Ryawn,"YAWN.",pilot
STRM_Rtime4fun,"OK ITS TIME TO HAVE FUN. CHECK THIS OUT GUYS...",pilot
STRM_Ryehaw,"YEEHAAW!",pilot

STRM_Ryouneverknow,"YOU NEVER KNOW WHAT WE MIGHT FIND ON A RECON FLIGHT.",gunner
STRM_R50bucks,"BAH I LOOSE FIFTY BUCKS ON A BET IN LAST NIGHTS GAME!",gunner
STRM_Rihopeso,"I HOPE SO. I WOULD HATE TO GET KILLED TODAY.",gunner
STRM_Rourguys,"THERE ARE OUR GUYS IN THE HOSPITAL. LETS ALL WAVE.",gunner
STRM_Rfunballs,"HEH HEH HEH COOL! GREAT BALLS ON FIRE!",gunner

STRM_Rideaoffun," GUYS, IS THIS YOUR IDEA OF FUN?",passanger
