LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Rokayboys,"OKAY BOYS, WE TAKE IT FROM HERE. WHY DON'T YOU GO AHEAD AND RECON THE WOODS IN SOUTH WEST. MOVE IT!",SEC alpha

STRM_Rwoodsclear,"THE WOODS ARE CLEAR, NO ENEMY ACTIVITY DETECTED. REQUESTING FURTHER ORDERS. OVER.",RECON1 charlie
STRM_Rrogersir,"ROGER THAT SIR, ON OUR WAY.",RECON1 charlie
STRM_Reastdead,"PAPABEAR THIS IS CHARLIE BLACK. SEEMS THAT ALL RUSSIAN FORCES ARE WASTED. OVER.",russiadead

STRM_Rrolling,"ALL FORCES THIS IS PAPABEAR. LISTEN UP. WE ARE MOVING ALONG TO MEAUX ALREADY TONIGHT. SATELLITE UPLINKING THE UPDATED ORDERS RIGHT NOW.  MOVE INTO POSITIONS. PAPABEAR OUT.",PAPABEAR
STRM_Rallgo,"PAPABEAR TO ALL FORCES. ATTACK IS A GO, MOVE INTO MEAUX AND KILL ALL RUSSIANS. GO GO GO!",PAPABEAR
STRM_Rcomplete,"THIS IS PAPABEAR. GOOD JOB OUT THERE. MEAUX IS OURS. CONGRATULATIONS. PAPABEAR OUT.",papa
