LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Rheyyou,"Hey you, we got word from HQ that the General wants to speak with you. There is chopper coming to pick you up.",sarge

STRM_Reastdead,"ALPHA BLACK TO PAPABEAR. THE RUSKIES ARE HISTORY. MEAUX IS SAFE, AGAIN. OVER.",safe

STRM_Rcomplete,"PAPABEAR HEARS YOU. EXCELLENT JOB. OVER.",paappa is happy


;STRM_Rgetready,"Get ready, we are picking you up now, over.",helo
;STRM_Rletsgo,"ok lets go",helo
;STRM_Rlanded,"We are going to land now, go to the front gate, General is waiting for you there.",helo

