LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ra10ready,"ALPHA THIS IS CHARLIE. WE ARE READY TO COMMENCE OUR ATTACK. OVER.",a10
STRM_Ra10attack,"ROGER THAT. KEEP YOUR HEADS DOWN, ATTACKING MONTIGNAC. CHARLIE OUT.",a10

STRM_Rcalla10s,"CHARLIE THIS IS ALPHA BLACK. YOU ARE CLEARED TO ENGAGE I REPEAT YOU ARE CLEARED TO ENGAGE. OVER.",calla10
STRM_Rbravogo,"BRAVO BLACK THIS IS ALPHA BLACK. ENGAGE THE TARGET. OVER.",callbravo

STRM_Rbravoroger,"THATS A ROGER ALPHA BLACK. ATTACKING THE CITY NOW. GOOD LUCK. OVER.",bravoroger

STRM_Rhqreply1,"ALL FORCES THIS IS PAPABEAR. GOOD JOB MONTIGNAC HAS FALLEN. OVER.",hqreply
