LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Robjective1,"THIS IS CHARLIE BLACK. OBJECTIVE ONE IS ACCOMPLISHED. OVER.",charlie
STRM_Rpara,"CHARLIE REPORTING. IN POSITION AND READY TO ATTACK LAMENTIN. SEND IN THE PARATROOPS. OVER.",charlie
STRM_Rgogogo,"OKAY PEOPLE, LET'S TAKE THIS CITY. NOW MOVE MOVE!",charlie

STRM_Rcontact,"ENEMY INFANTRY DETECTED IN DELTA SECTOR. ENGAGING. OVER.",delta
STRM_Raclear,"OUR SECTOR IS CLEAR. PROCEEDING TO THE RENDEZVOUS POINT. OVER.",delta

STRM_Rparaonway,"ROGER THAT CHARLIE. SENDING THE BACKUP. PAPABEAR OUT.",hq
STRM_Rwiped,"ALL RUSSIANS ARE DEAD OR FLEEING. GOOD JOB LAMENTIN IS SECURE. OUT.",hq
