LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rprovinsdone,"PAPABEAR THIS IS ECHO BLACK. PROVINS IS SECURE. I REPEAT WE HAVE PROVINS. OVER.",echo

STRM_Rfigaridone,"PAPABEAR THIS IS CHARLIE BLACK. FIGARI HAS FALLEN. OVER.",charlie

STRM_Rchotaindone,"PAPABEAR THIS IS BRAVO BLACK. CHOTAIN IS CAPTURED. OVER.",bravo

STRM_Rhqreply1,"ROGER THAT ECHO BLACK. WE CONFIRM PROVINS HAVE BEEN CAPTURED. OVER.",papabear
STRM_Rhqreply2,"COPY THAT CHARLIE BLACK. CHECK FOR FIGARI. GOOD JOB. OVER.",papabear
STRM_Rhqreply3,"AFFIRMATIVE BRAVO BLACK. CHOTAIN IS SECURE, KNOWLEDGED. OUT.",papabear
STRM_Rcompleted,"PAPABEAR TO ALL FORCES. GOOD JOB OUR MISSION IS COMPLETED. ALL ENEMIES ARE EITHER DEAD OR FLEEING, EXCELLENT JOB! PAPABEAR OUT.",papabear
