LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rintersdone,"PAPABEAR THIS IS ALPHA BLACK. THE INTERSECTIONS ARE CLEARED. OVER.",waiting
STRM_Rhilldone,"PAPABEAR THIS IS ALPHA BLACK. WE GOT THE HILL. I REPEAT WE GOT THE HILL. OVER.",hilldone

STRM_Rlarunsdone,"PAPABEAR THIS IS CHARLIE BLACK. LARUNS HAVE BEEN CAPTURED I REPEAT LARUNS HAVE BEEN CAPTURED. ALL RUSSIANS ARE DEAD. OVER.",laruns

STRM_Rhqreply1,"GOOD JOB ALPHA BLACK. PROCEED TO THE HILL. PAPABEAR OUT.",hqreply1
STRM_Rhqreply2,"ROGER THAT ALPHA BLACK. OVER.",hqreply2
STRM_Rhqreply3,"COPY CHARLIE BLACK. WE AKNOWLEDGE YOU GOT LARUNS UNDER CONTROL. OVER.",hqreply3
STRM_Rcomplete,"PAPABEAR TO ALL SQUADS. ENEMY FORCES HAVE BEEN DEFEATED. MISSION ACCOMPLISHED. PAPABEAR OUT.",out
