LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rwoods1,"BRAVO BLACK TO PAPA BEAR. FIRST WOODS ARE CLEARED. OVER.",bravo
STRM_Rwoods2,"BRAVO TO PAPA BEAR. SECOND WOODS HAVE BEEN CLEARED. OVER.",bravo
STRM_Rwoods3,"BRAVO TO PAPA BEAR. THIRD WOODS IS CLEAR. OVER.",bravo
STRM_Ralpha,"PAPA BEAR THIS IS BRAVO BLACK. WE HAVE FINISHED UP HERE, THE WOODS AREA IS CLEAR. OVER.",bravo

STRM_Rcomplete,"ROGER THAT BRAVO. MISSION ACCOMPLISHED. RETURN TO BASE. OVER.",papabear

STRD_Rmissname,"Leftovers",missionname
STRL_Rload,"Woods cleanup is dirty business",loadname
