LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Rback2camp,"ALPHA BLACK TO ALL UNITS. RETURN TO THE CAMP FOR EXTRACTION. OVER.",alpha
STRM_Rextract,"ALPHA BLACK TO PAPA BEAR. WE ARE READY FOR EXTRACTION. ALPHA OUT.",alpha
STRM_Rconvoydead,"PAPA BEAR THIS IS ALPHA BLACK. THE CONVOY IS TOTALLY WASTED. OVER.",alpha

STRM_Ratpos1,"BRAVO BLACK TO ALPA. IN POSITION. OVER.",kala

STRM_Ratpos2,"CHARLIE TO ALPA BLACK. READY TO ROCK. OUT.",kissa

STRM_Rhqreply1,"ROGER THAT ALPHA BLACK. HELO ENROUTE, ETA 3 MINUTES. STAY PUT. PAPA BEAR OUT.",papabear
STRM_Rhqreply2,"GOOD WORK ALPHA BLACK. OVER.",papabear
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. GOOD JOB OUT THERE. MISSION ACCOMPLISHED. PAPA BEAR OUT.",hq
