LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rescape,"GODDAMN. PAPA BEAR THIS IS BRAVO. THE CONVOY LEAD VEHICLE HAS HIT A MINE, PRISONERS ARE ESCAPING. SITUATION CRITICAL. SEND HELP NOW I MEAN FREAKING NOW!!!",alpha
STRM_Rrepelled,"ENEMY UPRISING HAVE BEEN REPELLED. ALL RESISTANCE IS ELIMINATED. OTHER PRISONERS ARE STILL ESCAPING, UNARMED. WAITING FURTHER ORDERS. OVER.",alpha
STRM_Rsupport,"PAPA BEAR. I CANNOT FIND ANY MORE OF THEM. PLEASE SEND THAT SUPPORT IMMEDIATELY. OVER.",alpha
STRM_Rhellyeah,"YEAH... HELL YEAH. SEND HIM OVER. I'LL BE AT THE CONVOY SITE. BRAVO OUT."
STRM_Rgunscomplete,"PAPA BEAR THIS IS BRAVO BLACK. WE HAVE COMPLETED THE SWEEP AND THERE IS NO ESCAPEES IN SIGHT. WAITING FURTHER ORDERS. OVER."

STRM_Rcmdmeet,"GOOD TO SEE YOU. YOUR ORDERS ARE TO PROCEED INTO THE PRISON CAMP AND ESCORT THE PRISONERS INTO THE AIRBASE. YOU'LL MEET THE WARDEN ON THE CAMP WITH ADDITIONAL DETAILS. NOW MOVE INTO THAT JEEP, HE WILL TAKE YOU TO THE CAMP. OVER.",cmdguy

STRM_Rwhello,"HI THERE. LETS WAIT UNTIL THE CONVOY ARRIVES TO PICK UP THESE SCUM SUCKING DOGS.",warden
STRM_Rconvoyhere,"CONVOY IS HERE. LETS MOVE THESE DORKS OUTTA HERE.",warden
STRM_Rmaggots,"OK MOVE IT MAGGOTS! INTO THE TRUCKS YOU FREAKING COMMIES. MOVE YOUR FREAKING ASSES!",warden
STRM_Rallyours,"THEY ARE ALL IN. MOVE INTO THE LAST VEHICLE. BE CAREFUL ON THE WAY. OVER.",warden
STRM_Rmoving,"WARDEN TO PAPA BEAR. LITTLE BEAR CONVOY IS MOVING. OVER.",alpha

STRM_Rlandingnow,"I'M LANDING NOW BRAVO BLACK. GET READY TO BOARD THE GUNNER POSITION.",ahelo

STRM_Rhqnosupport,"COPY BRAVO. WE ARE SORRY BUT NO ASSETS ARE AVAILABLE TO HELP. YOU ARE ON YOUR OWN. GOOD LUCK.",hq
STRM_Rcaptureem,"TRY TO CAPTURE THEM. DO NOT KILL I REPEAT DO NOT KILL ANYONE UNARMED. HIT THEM IN THE HEAD WITH YOUR COLT IF NECESSARY TO SUBDUE THEM. GOOD HUNTING. PAPA BEAR OUT.",hq
STRM_Rblackhawkok,"COPY BRAVO. WE HAVE ONE BLACK HAWK NEARBY, BUT IT IS MISSING A DOOR GUNNER. CAN YOU HANDLE MINI GUNS BRAVO. OVER.",hq
STRM_Rokwilldo,"OK WILL DO. PAPA BEAR OUT.",hq
STRM_Rmcomplete,"COPY THAT BRAVO. YOU HAVE DONE ALL YOU COULD, GOOD WORK. PAPA BEAR OUT.",hq
