LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcivis,"ALPHA TO PAPA BEAR. THERE ARE SEVERAL CIVILIANS APPROACHING THE VERNON. WHAT SHOULD WE DO. OVER.",alpha
STRM_Rcivisconfirm,"COPY THAT PAPA BEAR. NO WEAPONS. NO RUSSIANS. THEY ARE CIVILIANS. OVER.",alpha
STRM_Reastdead,"ALPA TO PAPA BEAR. SMALL RUSSIAN SQUAD TRIED TO CHASE DOWN THE CIVIS. THEY ARE ELIMINATED. OVER.",alpha
STRM_Rwaiting,"ROGER STANDING BY. ALPHA OUT.",alpha

STRM_Rheyalpha,"HEY ALPHA LEADER. CHECK OUT SOUTH, WE HAVE CIVILIANS INCOMING.",bravo

STRM_Rmovecivis,"OKAY WE ARE PICKING UP THE CIVILIANS NOW.",who
STRM_Rcivismoving,"CIVILIANS ARE ON SAFE GROUND. TRANSPORTING THEM DEEPER INTO FRIENDLY TERRITORY. OVER.",who

STRM_Rhqcivis,"YOU SAID THEY ARE CIVILIANS. NO WEAPONS IN SIGHT. NO RUSSIANS. CONFIRM ALPHA. OVER.",hq
STRM_Rhqcivisorder,"ROGER. USE CAUTION AND RECEIVE THEM. OVER.",hq
STRM_Rhqsending,"COPY ALPHA. WE ARE SENDING TRUCK TO PICK UP THE CIVILIANS. STAY SHARP UNTIL IT ARRIVES. OVER.",hq
