LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rinserted,"ALPHA BLACK TO PAPA BEAR. FEET DRY. OVER.",alpha
STRM_Rbeachclear,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE IS SECURE. SETTING DEFENSIVE POSITIONS. OVER.",alpha

STRM_Rinsertedc,"CHARLIE IS FEET DRY. OVER.",charlie

STRM_Rvulcansok,"PAPA BEAR THIS IS ECHO. AA COVER DEPLOYED IN THE BEACH. ECHO OUT.",aa

STRM_Rbeachreply,"COPY THAT ALPHA. VULCANS ON THEIR WAY. KEEP THE BEACH CLEARED. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. MISSION ACCOMPLISHED, BEACH IS SECURE. OVER.",hq
