LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA TO PAPA BEAR. OBJECTIVE ONE IS SECURE. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO IS CAPTURED. OVER.",alpha
STRM_Reastdead3,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE THREE HAS BEEN SEIZED. ALPHA OUT.",alpha
STRM_Raathreat,"ALPHA TO PAPA BEAR. ENEMY HELOS NEAR OBJECTIVE ONE. REQUESTING IMMEDIATE ANTI-AIR COVER. OVER.",alpha
STRM_Raahurry,"COPY PAPA BEAR. PLEASE INFORM VULCANS TO HAUL ASS. OVER.",alpha

STRM_Rsearchdone,"BRAVO TO ALHPA. SEARCH COMPLETE. LETS PROCEED TO OBJECTIVE ONE. OVER.",bravo
STRM_Rsearchdone2,"BRAVO TO ALPHA. ROAD SEARCH COMPLETE. PROCEEDING TO SEA PORT. OVER.",bravo
STRM_Rsearchdone3,"BRAVO BLACK TO ALPHA BLACK. SEA PORT SEARCH COMPLETE. SETTING UP GUARD. BRAVO OUT.",bravo

STRM_Raaonway,"DELTA BLACK TO ALPHA BLACK. ON OUR WAY. ETA FEW MINUTES. KEEP YOUR HEADS DOWN. OVER.",delta
STRM_Raaonstat,"DELTA TO ALPHA. WE ARE ON STATION AND GUARDING THE AIRSPACE. OVER.",delta

STRM_Reastdead1cpy,"COPY THAT ALPHA. SENDING IN THE TANKS. OVER.",hq
STRM_Reastdead2cpy,"ROGER ALPHA. GOOD JOB. CONTINUE WITH THE PLAN. OVER.",hq
STRM_Reastdead3cpy,"PAPA BEAR TO ALPHA BLACK. EXCELLENT JOB. MISSION ACCOMPLISHED. OVER.",hq
STRM_Raacover,"COPY THAT ALPHA. DEPLOYING VULCANS. HANG TIGHT. OVER.",hq
STRM_Rass2dead,"PAPA BEAR TO ALPHA. WE HAVE LOST CONTACT TO BRAVO. I FEAR THEY ARE DEAD. OVER.",hq
STRM_Rtnkdead,"PAPA BEAR TO ALPHA. BE ADVICED, YOUR TANK SUPPORT HAVE BEEN NEUTRALIZED. OVER.",hq

STRD_Rmissname,"Eternal Phoenix",missionname
STRL_Rload,"Assault time",loadname
