LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ronbeach,"ALPHA BLACK TO PAPA BEAR. ON THE BEACH. PROCEEDING TO OBJECTIVE ONE. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. ENEMY BASE IS SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. AREA SECURE, NO MORE RUSSIANS LEFT. OVER.",alpha

STRM_Ronourway,"COPY THAT PAPA BEAR. ON OUR WAY. OVER.",charlie
STRM_Rokalpha,"OK ALPHA. WERE COVER THINGS HERE. YOURE FREE TO PROCEED INTO OBJECTIVE TWO. OVER.",charlie

STRM_Rsendingbackup,"COPY ALPHA. SENDING BACKUP. HOLD THE BASE. OVER.",hq
STRM_Rgohead,"PAPA BEAR TO CHARLIE BLACK. YOU'RE CLEARED TO PROCEED. OVER.",hq

STRD_Rmissname,"Cosmopolitan Warrior",missionname
STRL_Rload,"Assault on the small island",loadname
