LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rbackups,"DELTA BLACK TO ALL FORCES. MOVE ON. OVER.",delta
STRM_Rbeachass,"DELTA BLACK TO ALPHA BLACK. PROCEED INTO THE BEACH. OVER.",delta
STRM_Reastdead1,"DELTA BLACK TO PAPA BEAR. INTERSECTION IS CLEARED. OVER.",delta
STRM_Reastdead2,"DELTA TO PAPA BEAR. BEACH HEADS ARE SECURED. DELTA OUT.",delta

STRM_Rustmoving,"DELTA BLACK THIS IS ALPHA BLACK. MOVING ON. OVER.",bravo
STRM_Ratstation,"THIS IS ALPHA BLACK. WE ARE SECURING THE INTERSECTION. YOURE FREE TO ENGAGE BEACH. OVER.",bravo

STRM_Rass2moving,"DELTA THIS IS BRAVO. ON OUR WAY. OVER.",bravo

STRM_Rust2moving,"DELTA THIS IS CHARLIE. ROLLING. OVER.",charlie
STRM_Rreadytogo,"CHARLIE BLACK TO DELTA BLACK. OK WERE READY TO PROCEED. RADIO US WHEN YOU NEED TANKS. OVER.",charlie
STRM_Rbeachmove,"COPY DELTA. WE ARE MOVING. CHARLIE OUT.",charlie

STRM_Reast1reply,"ROGER DELTA BLACK. CALL THE BACKUP FORCES WHEN READY. OVER.",hq
STRM_Rmcomplete,"DELTA THIS IS PAPA BEAR. EXCELLENT JOB. MISSION ACCOMPLISHED. OVER.",hq
