LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. INTERSECTION SEIZED. SEND IN THE CAVALRY. OVER.",alpha
STRM_Rassault,"ALL FORCES. GO GO GO.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO IS SECURED. WE GOT THE HILL. OVER.",alpha

STRM_Rbravoready,"ALPHA THIS IS BRAVO. IN POSITION AND READY TO ATTACK. OVER.",bravo

STRM_Rcopyone,"ROGER THAT PAPA BEAR. ON OUR WAY. CHARLIE OUT.",charlie
STRM_Ronlocation,"PAPA BEAR THIS IS CHARLIE BLACK. WE ARE APPROACHING THE OBJECTIVE ONE. OVER.",charlie

STRM_Rdonesearch3,"PAPA BEAR THIS IS ECHO BLACK. SECURING THE OBJECTIVE. OVER.",whatever

STRM_Rdonesearch4,"PAPA BEAR THIS IS FOXTROT BLACK. ON THE LOCATION AS ORDERED. OVER.",yeahyeah

STRM_Rsendingbackup,"COPY THAT ALPHA. SENDING TANKS. OVER.",hq
STRM_Rustanksgo,"PAPA BEAR TO CHARLIE. YOU'RE CLEARED TO PROCEED INTO OBJECTIVE ONE. OVER.",hq
STRM_Rgoodjob,"EXCELLENT JOB EVERYONE. SECURE THE POSITIONS WHILE WE SEND YOU ADDITIONAL FORCES. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. YOUR MISSION IS ACCOMPLISHED. GOOD JOB. OVER.",hq
