LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. SCUDS DESTROYED. OVER.",alpha
STRM_Rcharlie,"ALPHA TO PAPA BEAR. WE HAVE REACHED FRIENDLY POSITIONS. OVER.",alpha

STRM_Rrtb,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. RETURN TO BASE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. ROGER THAT. MISSION ACCOMPLISHED. OVER.",hq

STRM_Rinsert,"GET READY FOR INSERTION. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. GO GET EM. OVER.",bravo

STRD_Rmissname,"Black Phoenix",missionname
STRL_Rload,"Scud Hunt",loadname
