LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA TO PAPA BEAR. FIRST INTERSECTION IS CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE TWO IS NOW SECURE. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. ARUDY IS UNDER OUT CONTROL. SEND BACKUP. OVER.",alpha
STRM_Rcharliego,"ALPHA BLACK TO CHARLIE BLACK. COMMENCE THE ATTACK. OVER.",alpha
STRM_Ralldead,"ALPHA TO PAPA BEAR. ALL RUSSIANS ARE WIPED OUT. ALPHA OUT.", alpha

STRM_Rcharlieroger,"CHARLIE BLACK TO ALPHA BLACK. COPY THAT. ATTACKING. OVER.",charlie

STRM_Rbackuphere,"BACKUPS ARE HERE. OVER.",bravo

STRM_Rbackuponway,"PAPA BEAR TO ALPHA BLACK. COPY ARUDY. BACKUP IS HEADING YOUR WAY. STAY PUT. OVER.",hq
STRM_Rmcomplete,"GOOD JOB EVERYONE. MISSION ACCOMPLISHED. OVER.",hq

