LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE THE CITY. OBJECTIVE IS SECURED. OVER.",alpha
STRM_Rcommence,"ALPHA BLACK TO ALL FORCES. COMMENCE THE ATTACK. OVER.",alpha

STRM_Rbravor,"BRAVO TO ALPHA. READY TO GO. OVER.",bravo

STRM_Ra10out,"NO MORE TARGETS, RTB. GOOD LUCK. OVER.",a10
STRM_Rapacheout,"OUT OF TARGETS. WE ARE HEADING HOME. OVER.",apache

STRM_Rsniperposition,"CHARLIE BLACK TO ALPHA BLACK. WE ARE IN POSITION AND READY TO FIRE. OVER.",charlie

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. GOOD WORK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Decisive Eagle",missionname
STRL_Rload,"Larche must fall",loadname
