LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rshilkasdead,"ALPHA BLACK TO PAPA BEAR. THE ENEMY AIR DEFENSES ARE DOWN. PROCEED WITH THE PLAN. OVER.",alpha
STRM_Rgogogo,"ALPHA BLACK TO ALL FORCES. GO GO GO. OVER.",alpha
STRM_Reastdead,"ALPHA TO PAPA BEAR. AIRBASE HAS BEEN CAPTURE I REPEAT AIRBASE HAS BEEN CAPTURED. OVER.",alpha

STRM_Rhouseclear,"BRAVO TO ALPHA. THE GUARD HOUSE IN SOUTH TIP IS CLEARED. MOVING TO SECURE MAIN BUILDINGS. OVER.",bravo

STRM_Rgunshipway,"DELTA TO PAPA BEAR. COPY THAT. ENGAGING TARGET AREA. OVER.",delta
STRM_Rtanksdead,"DELTA TO PAPA BEAR. TANKS ARE WASTED. OVER.",delta

STRM_Rtanksmove,"CHARLIE TO ALPHA. DONE WITH SOUTHERN SECTION. MOVING TO SECURE THE CENTRAL AIRBASE. OVER.",charlie
STRM_Rtanksmove2,"CHARLIE TO ALPHA. CENTRAL SECTION SWEEPED. OVER.",charlie
STRM_Rtanksmove3,"CHARLIE REPORTING. NORTHERN SECTION OF THE AIRBASE SWEPT FROM ARMOR. LOOKS CLEAR. OVER.",charlie

STRM_Rsndgunships,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. HOLD TIGHT SENDING GUNSHIPS. OVER.",hq
STRM_Rcallgunships,"PAPA BEAR TO DELTA BLACK. COMMENCE THE AIR ASSAULT. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. GOOD JOB. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Fallen Bear",missionname
STRL_Rload,"Battle of the airbase",loadname
