LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rhillclear,"ALPHA BLACK TO CHARLIE BLACK. HILL IS SECURE. PROCEED. OVER.",alpha
STRM_Rmoveobj2,"ALPHA BLACK TO DELTA BLACK. ATTACK THE OBJECTIVE NOW. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. FIRST RUINS HAVE BEEN CLEARED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. LAST OBJECTIVE HAS BEEN SECURED. OVER.",alpha

STRM_Rsnipacopy,"CHARLIE BLACK TO ALPHA BLACK. ROGER ON OUR WAY. OVER.",charlie
STRM_Rsnipaready,"CHARLIE IS IN POSITION. OVER.",charlie

STRM_Rob2copy,"THIS IS DELTA BLACK. ROGER THAT ALPHA BLACK. ENGAGING. DELTA OUT.",delta

STRM_Reast2reply,"PAPA BEAR TO ALPHA BLACK. THATS A COPY. PROCEED WITH THE MISSION PLAN AND CALL DELTA WHEN READY TO ATTACK. OVER.",hq
STRM_Reast3reply,"PAPA BEAR COPIES. GOOD WORK EVERYONE. PAPA BEAR OUT.",hq

STRD_Rmissname,"Whisper Hill",missionname
STRL_Rload,"Stay sharp with those snipers.",loadname
