LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rsplashone,"ALPHA BLACK TO PAPA BEAR. SPLASH ONE BANDIT. OVER.",alpha

STRM_Rresdied,"PAPA BEAR TO ALPHA BLACK. THE RESUPPLY TRUCK HAS BEEN DESTROYED. NEW ORDERS HEAD TO THE TANK BASE AND GRAB SOME AMMO FROM THERE. GOOD LUCK. OVER.",alpha

STRM_Rneedhelp,"BRAVO BLACK ONE TO PAPA BEAR. HIND JUST TOOK OUT OUR M113. WE NEED SOME URGENT BACKUP IN THE TANK BASE. DO YOU COPY. OVER.",bravo

STRM_Ratresupply,"I AM AT THE DOCKS. ALPHA BLACK HAS BEEN RESUPPLIED. OVER.",charlie

STRM_Reastdead,"PAPA BEAR TO ALL FORCES. SEEMS LIKE THATS ALL OF THEM. PAPA BEAR OUT.",hq
STRM_Rholdtight,"PAPA BEAR TO BRAVO. KEEP YOUR HEADS DOWN. WE ARE GETTING YOU SOME ASSISTANCE. OVER.",hq

STRD_Rmissname,"Airspace Denial",missionname
STRL_Rload,"Time to go Hind Hunting",loadname
