LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rattack,"ALPHA TO ALL FORCES. COMMENCE THE ATTACK. OVER.",alpha
STRM_Reastdead,"ALPHA TO ALL FORCES. WE HAVE THE BASE. GOOD JOB. OVER.",alpha

STRM_Rass2ready,"BRAVO IS READY TO GO OVER.",bravo
STRM_Rass3ready,"CHARLIE IS READY TO ATTACK. OVER.",charlie

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. I HEAR YOU. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Death Trap",missionname
STRL_Rload,"Attack the Russian base",loadname
