LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rh1dustoff,"ECHO BLACK. DUSTOFF.",who
STRM_Rannounce,"ECHO BLACK TO ALL FORCES. PRISONERS ARE SAFE AND SOUND. HEADING TO HOME PLATE. OVER.",who

STRM_Rh2dustoff,"FOXTROT BLACK. DUSTOFF.",qho

STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. EXCELLENT JOB WELCOME HOME EVERYONE! PAPA BEAR IS OUT.",hq

STRD_Rmissname,"Poor Prisoners",missionname
STRL_Rload,"Prisoners of War...",loadname
