LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ralphaisback,"ALPHA BLACK ONE TO ALL FORCES. HEH SOUNDS GOOD TO SAY THAT AGAIN. JUST TO LET YOU KNOW. ALPHA IS BACK IN BUSINESS. ALPHA OUT.",alpha
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. THERE WAS SMALL RUSSIAN PATROL. WE ELIMINATED IT. OVER.",alpha

STRM_Rbravogo,"BRAVO BLACK TO PAPA BEAR. ALPHA IS HERE. REQUEST PERMISSION TO LEAVE OUR POSITIONS. OVER.",bravo

STRM_Rrogbravo,"PAPA BEAR TO BRAVO BLACK. YOU ARE AUTHORIZED TO LEAVE THE POSITIONS. ALPHA TAKE OVER AND MAN THE POSITION. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. ROGER THAT. KEEP YOUR EYES OPEN THERE. OVER.",hq

STRD_Rmissname,"Fire Flash",missionname
STRL_Rload,"Back in Kolgujev",loadname
