LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rsweepdone,"ALPHA BLACK TO PAPA BEAR. MOUNTAINS HAVE BEEN SWEPT. OVER.",alpha

STRM_Rextract,"THIS IS CHARLIE BLACK. GET READY FOR EXTRACTION. OVER.",charlie
STRM_Rdustoff,"PAPA BEAR THIS IS CHARLIE. ALPHA IS ON BOARD AND WE ARE HEADING FOR HOME. OVER.",charlie

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD JOB. MISSION ACCOMPLISHED. WE'LL SEND YOU EXTRACT HELO. HOLD TIGHT. OVER.",hq

STRD_Rmissname,"Agile Puma",missionname
STRL_Rload,"I wanna be a mountain ranger",loadname
