LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE ENEMY POSITIONS. OVER.",alpha

STRM_Rinsert,"CHARLIE TO ALPHA. GET READY FOR INSERTION. OVER.",charlie
STRM_Reverout,"OK EVERYBODY OUT. GOOD LUCK ALPHA GO GET 'EM. OVER.",charlie

STRM_Rbravogo,"OKAY ALPHA. WE ARE READY TO ROLL. LETS GO. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Rolling Blaze",missionname
STRL_Rload,"Coastal advance",loadname
