LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rletsgo,"ALPHA TO BRAVO. OK LETS START THIS OPERATION. OVER.",alpha
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE REACHED OUT OBJECTIVE. OVER.",alpha

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY. MISSION ACCOMPLISHED. OVER.",hq

STRM_Rextract,"THIS IS DELTA BLACK ONE CALLING ALPHA SQUAD. GET READY FOR TRANSPORT. OVER.",delta
STRM_Rinsert,"DELTA TO ALPHA. HEADS UP. APPROACHING LANDING ZONE, GET READY TO DISEMBARK. OVER.",delta
STRM_Rgoodluck,"GOOD LUCK ALPHA. SHOW THEM HELL. DELTA BLACK OUT.",delta

STRD_Rmissname,"Rainman",missionname
STRL_Rload,"The rain is here...",loadname
