LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ralphaonbase,"ALPHA BLACK TO PAPA BEAR. WE ARE ON THE BASE IN FEW MOMENTS. OVER.",alpha
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. I THINK THATS THE LAST OF THEM. I THINK WE DEFEATED THEM. OVER.",alpha

STRM_Rbravodead,"BRAVO LEADER TO ANYBODY CLOSE BY. WE ARE GETTING OUR ASSES KICKED. I AM THE ONLY ONE ALIVE. BRAVO OUT!",bravo

STRM_Rust1dead,"THIS IS CHARLIE BLACK ONE. OUR TANKS HAVE BEEN BLOWN AWAY. I AM OUTTA HERE!",charlie

STRM_Rextract,"ALPHA THIS IS DELTA. GET READY FOR PICK UP. OVER.",delta
STRM_Rinsert,"GET READY FOR INSERTION. OVER.",delta
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. DELTA OUT.",delta

STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. RUSSIAN ATTACK HAS BEEN DEFEATED. GREAT JOB! OVER.",hq

STRD_Rmissname,"Intense Ivan",missionname
STRL_Rload,"Emergency! get to the base defense!",loadname
