LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rletsgo,"ALPHA TO BRAVO. OK LETS PROCEED ALONG THE ROAD, INTO THE WEST. OVER.",alpha
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE REACHED THE OBJECTIVE AND SECURED IT. OVER.",alpha

STRM_Rextract,"ALPHA THIS IS DELTA. GET READY FOR PICK UP. OVER.",delta
STRM_Rinsert,"ALPHA GET READY FOR INSERTION. OVER.",delta
STRM_Rgoodluck,"GOOD LUCK ALPHA. GO GET THEM. DELTA OUT.",delta

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Noble Warrior",missionname
STRL_Rload,"In the coast",loadname
