LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rgetusout,"ALPHA TO BRAVO. READY FOR EXTRACTION. OVER.",alpha

STRM_Rextract,"ALPHA GET READY FOR PICK UP. OVER.",bravo
STRM_Rinsert,"ALPHA GET READY FOR INSERTION. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. BRAVO OUT.",bravo

STRM_Rmcomplete,"THIS IS PAPA BEAR. WELCOME HOME ALPHA BLACK. OVER.",hq

STRD_Rmissname,"Ninjas Gold",missionname
STRL_Rload,"Ninjas own the night!",loadname
