LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. INTERSECTION IS CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE GOT THE BASE. OVER.",alpha

STRM_Rtankhere,"THIS IS CHARLIE. WE TAKE IT OVER FROM HERE. ALPHA YOU ARE CLEARED TO CONTINUE. OVER.",charlie

STRM_Rintersec,"PAPA BEAR TO ALPHA BLACK. COPY THAT. THANKS ARE ON THEIR WAY, WAIT FOR THEM AND THEN PROCEED WITH THE MISSION PLAN. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. ROGER. GOOD WORK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Safe Nighthawk",missionname
STRL_Rload,"Assault on the beaches",loadname
