LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rassault,"ALPHA TO BRAVO AND CHARLIE. ATTACK IS A GO, I REPEAT ATTACK IS A GO. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE THE FUEL DEPOT. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. RUINS NUMBER ONE HAVE BEEN CAPTURED. OVER.",alpha
STRM_Reastdead3,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE THREE HAS BEEN CAPTURED. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. RUSSIAN REINFORCEMENTS HAVE BEEN ELIMINATED. ALPHA OUT.",alpha

STRM_Rreplyed1,"PAPA BEAR TO ALPHA BLACK. COPY THAT. OVER.",hq
STRM_Rreplyed2,"PAPA BEAR TO ALPHA. ROGER. OVER.",hq
STRM_Rreplyed3,"PAPA BEAR TO ALPHA. ACKNOWLEDGED. OVER.",hq
STRM_Rreinf,"PAPA BEAR TO ALPHA, BRAVO AND CHARLIE. HEADS UP. RUSSIAN REINFORCEMENTS SPOTTED HEADING YOUR WAY. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD JOB. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Ghost Hope",missionname
STRL_Rload,"Attack to the enemy positions",loadname
