LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ratob,"ALPHA BLACK TO BRAVO BLACK. DO YOU COPY. OVER.",alpha
STRM_Ratob2,"THIS IS ALPHA BLACK CALLING BRAVO BLACK. DO YOU COPY. PLEASE RESPOND. OVER.",alpha
STRM_Rapproach,"THIS IS ALPHA. WE ARE APPROACHING FROM YOU NOW ON SOUTH WEST. HOLD YOU FIRE ON SOUTH WEST. ACKNOWLEDGE. OVER.",alpha
STRM_Rnokidding,"ALPHA TO BRAVO. DO YOU KIDD AROUND. WE ARE APPROACHING FROM YOU ON SOUTH WEST. DO YOU COPY SOUTH WEST. OVER.",alpha
STRM_Rsharpness,"ALPHA TO BRAVO. ARE YOU SURE. REPEAT WHAT IS OUR BEARING TO YOUR POSITION. OVER.",alpha
STRM_Rgood,"ALPHA TO BRAVO. GOOD. MAKE SURE YOU REMEMBER THAT. WE ARE COMING IN. OVER.",alpha
STRM_Rreached,"ALPHA BLACK TO PAPA BEAR. WE HAVE REACHED THE BRAVOS POSITION. MISSION ACCOMPLISHED. OVER.",alpha

STRM_Rbravocopy,"BRAVO BLACK COPIES. HEARING YOU LOUD AND CLEAR. OVER.",bravo
STRM_Rwhatdirhuh,"BRAVO TO ALPHA. CAN YOU REPEAT WHAT DIRECTION WAS THAT AGAIN. OVER.",bravo
STRM_Rcopysw,"UH OK BRAVO COPIES SOUTH WEST. OVER.",bravo
STRM_Rswrepeat,"BRAVO TO ALPHA. WE COPY YOU ARE APPROACHING FROM SOUTH WEST. WE ARE HOLDING OUR FIRE TO SOUTH WEST. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD WORK OVER THERE. OVER.",hq

STRD_Rmissname,"Sharp Sweep",missionname
STRL_Rload,"Sweep the hilly terrain",loadname
