LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rsnipermove,"ALPHA TO DELTA. YOU ARE CLARED TO MOVE INTO POSITION. OVER.",alpha
STRM_Rassault,"THIS IS ALPHA BLACK ALL FORCES. THUNDERBIRD. I REPEAT THUNDERBIRD. OVER.",alpha
STRM_Rhelos,"ALPHA TO PAPA BEAR. WE CATCHED TO RUSSIAN HELOS ON TARMACK. LOOKS LIKE MI-24 AND MI-17 IN MINT CONDITION. OVER.",alpha
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE OBJECTIVE. OVER.",alpha

STRM_Rdestroyem,"PAPA BEAR TO ALPHA. PROCEED AND DEMOLISH THEM INTO SCRAP METAL. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. GOOD JOB EVERONE. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Fire Fortress",missionname
STRL_Rload,"Assault the ruins",loadname
