LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rwereready,"ALPHA TO BRAVO. WE ARE DONE HERE. COME TO PICK US UP. OVER.",alpha

STRM_Rinsert,"GET READY FOR INSERTION. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. GO GET THEM. OVER.",bravo
STRM_Rextract,"OK ALPHA GET READY. OVER.",bravo

STRM_Rwelcome,"PAPA BEAR TO ALPHA BLACK. WELCOME HOME. OVER.",hq

STRD_Rmissname,"Coast Shield",missionname
STRL_Rload,"Get them",loadname
