LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WARM WELCOME. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. DINNER IS SERVED, I REPEAT DINNER IS SERVED. OVER.",alpha
STRM_Rreinfdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE REPELLED SMALL REINFORCEMENT GROUP. OVER.",alpha

STRM_Rwarmcpy,"PAPA BEAR COPIES. THANKS FOR THE HOSPITALITY. OVER.",hq
STRM_Rgoodjob,"PAPA BEAR TO ALPHA. ROGER THAT. I WILL BRING THE RED WINE. OVER.",hq
STRM_Rmcomplete,"THIS IS PAPA BEAR. COPY. GOOD WORK. YOUR MISSION IS COMPLETED. OVER.",hq

STRD_Rmissname,"Nogova Airstrip",missionname
STRL_Rload,"Welcome to Nogova gentlemen",loadname
