LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rhello,"HELLO WORLD. OVER.",alpha

STRM_Rengine1,"BRAVO BLACK TO ALPHA BLACK. BE ADVICED WE ARE SHOWING DROPPING OIL PRESSURE. OVER.",bravo
STRM_Rengine2,"BRAVO TO ALPHA. PRESSURE STILL DROPPING. THIS IS NOT LOOKING GOOD. OVER.",bravo
STRM_Rengine3,"OKAY PRESSURE IS STILL GOING DOWN. WE ARE RTB. OVER.",bravo
STRM_Rrtb,"BRAVO BLACK TO PAPA BEAR. MAYDAY MAYDAY, WE ARE LOSING OIL PRESSURE. SITUATION CRITICAL. RTB. GET THE RESCUE GEAR READY. OVER.",bravo
STRM_Rgoingdown,"FLAME OUT FLAME OUT! WE ARE GOING DOWN EVERYBODY HOLD TIGHT!";

STRM_Rhqrtbcpy,"PAPA BEAR TO BRAVO BLACK. COPY EMERGENCY. ROLLING FIRE EQUIPMENT. YOU ARE CLEARED ALL THE WAY IN. OVER.",hq

STRD_Rmissname,"Safari Heat",missionname
STRL_Rload,"Assault Blata",loadname
