LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcampign,"ALPHA TO PAPA BEAR. AT THE CAMPIGN LOCATION. SETTING UP FOR THE NIGHT. OVER.",alpha
STRM_Rscuds,"ALPHA TO PAPA BEAR. WE HAVE ELIMINATED TWO SCUD LAUNCHERS. OVER.",alpha

STRM_Rinsert,"BRAVO TO ALPHA. LANDING ZONE IN SIGHT. GET READY FOR INSERTION. OVER.",bravo
STRM_Rgoodluck,"GO GET THEM ALPHA. AND GOOD LUCK. OVER.",bravo

STRM_Rhqscuds,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD, GOOD WORK. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. BE CAREFUL AND KEEP IT QUIET. OVER.",hq

STRD_Rmissname,"Scud Hunt 1",missionname
STRL_Rload,"Your mission is scuds, scuds and nothing but scuds",loadname
