LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ralphacopy,"ALPHA BLACK COPIES. WE WILL DEFEND THE AIRSTRIP. ALPHA OUT.",alpha
STRM_Ralphaactive,"ALPHA TO PAPA BEAR. FEET ON THE GROUND. SETTING UP DEFENSES. DO YOU GOT ANY INTEL FOR US. OVER.",alpha
STRM_Reastdead,"ALPHA BLACK TO ALL FORCES. THAT MUST HAVE BEEN LAST OF THE RUSSIAN ASSAULT FORCES. AIRSTRIP SECURE. OVER.",alpha

STRM_Ralarm,"BRAVO BLACK TO PAPA BEAR. BE ADVICED WE HAVE ENEMY FORCES APPROACHING FROM SOUTH WEST. LOOKS LIKE ASSAULT. OVER.",bravo

STRM_Rrtb,"PAPA BEAR TO BRAVO. COPY THAT. NEW ORDERS. RETURN TO BASE IMMEDIATELY. DROP OFF ALPHA. OVER.",hq
STRM_Ralphaorder,"PAPA BEAR TO ALPHA BLACK. YOUR NEW ORDERS ARE TO DEFEND THE AIRSTRIP AT ANY COST. DO YOU COPY. OVER.",hq
STRM_Rintel,"COPY ALPHA. LOOKS LIKE SOME RADAR BLIPS JUST APPEARED IN THE SCOPE. STAY ALERT FOR SEA AND AIR ATTACK. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. GOOD JOB. I THINK WE ARE DONE FOR TODAY. OVER.",hq

STRD_Rmissname,"Mokropsy Obelisk",missionname
STRL_Rload,"Assault on Mokropsy town",loadname
