LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE HAS BEEN CLEARED. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. WE ARE DONE HERE. REQUESTING EXTRACTION. OVER.",alpha

STRM_Rinsert,"ALPHA GET READY. LANDING ZONE IN SIGHT. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. GIVE 'EM HELL. BRAVO OUT.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo

STRM_Rcallbravo,"PAPA BEAR TO ALPHA BLACK. COPY THAT. CALL BRAVO. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD TO SEE YOU AGAIN. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Mokropsy Strike",missionname
STRL_Rload,"Assault Mokropsy, again...",loadname
