LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE IS SECURE. WE HAD SOME FIRE FIGHTS OVER HERE BUT OBJECTIVE IS SECURE. OVER.",alpha

STRM_Rinthebeach,"PAPA BEAR THIS IS BRAVO BLACK. WE ARE IN THE BEACH. LOOKS QUIET SO FAR. OVER.",bravo

STRM_Rinsert,"OK TROOPS GET READY. INSERTION POINT IN SIGHT. OVER.",charlie
STRM_Rgoodluck,"GOOD LUCK PEOPLE. CHARLIE OUT.",charlie

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. ROGER THAT GOOD WORK. STAY ALERT. OVER.",hq

STRD_Rmissname,"Beach Broom",missionname
STRL_Rload,"Clear the beach for invasion",loadname
