LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE IS UNDER OUR CONTROL. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO SECURE. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. RUSSIAN REINFORCEMENTS HAVE BEEN REPELLED. OVER.",alpha
STRM_Rseetanks,"ALPHA TO PAPA BEAR. WE HAVE ENEMY TANKS APPROACHING FROM THE NORTH. CAN YOU SPARE SOME GUNSHIPS. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. PROCEED WITH THE PLAN. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. JOB WELL DONE ALPHA BLACK. OVER.",hq
STRM_Rreinalarm,"PAPA BEAR TO ALL FORCES. BE ADVICED ENEMY COUNTER ATTACK ON WAY FROM THE NORTH. OVER.",hq
STRM_Rsendings,"PAPA BEAR TO ALPHA. ROGER. SENDING COBRA TO SUPPORT YOU. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR COPIES. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Final Invasion",missionname
STRL_Rload,"Final Invasion to Nogova",loadname
