LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rbegin,"ALPHA BLACK TO BRAVO AND CHARLIE. BEGIN THE OPERATION. OVER.",alpha
STRM_Rassault,"ALPHA TO BRAVO AND CHARLIE. COMMENCE THE ASSAULT GO GO GO. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE IS CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. SECOND OBJECTIVE IS CLEARED. OVER.",alpha
STRM_Reastdead3,"ALPHA BLACK TO PAPA BEAR. I AM GLAD TO ANNOUNCE THAT WE ARE IN CONTROL OF LIPANY NOW. ALPHA OUT.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. REINFORCEMENTS ARE BURNING DEFEATED. OVER.",alpha

STRM_Rhqed1,"PAPA BEAR TO ALPHA BLACK. ROGER. PROCEED. OVER.",hq
STRM_Rhqed2,"PAPA BEAR TO ALPHA. COPY THAT. OVER.",hq
STRM_Rhqed3,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. STAY SHARP FOR ANY ENEMY REINFORCEMENTS FROM NORTH. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. CONGRATULATIONS, JOB WELL DONE. MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"City Eagle",missionname
STRL_Rload,"Attack Lipany!",loadname
