LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rassault1,"ALPHA BLACK REQUESTING AIR SUPPORT. OVER.",alpha
STRM_Rassault2,"ALPHA BLACK TO GROUND FORCES. GO GO GO. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. THE RUINS HAVE BEEN CAPTURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE CAPTURED OBJECTIVE TWO. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. HOUSES ARE UNDER OUR CONTROL. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. THE VALLEY HAS BEEN CAPTURED. NO MORE RUSSIANS LEFT. OVER.",alpha

STRM_Rhqair,"PAPA BEAR TO ALPHA BLACK. ROGER, GUNSHIPS ON THEIR WAY. OVER.",hq

STRM_Rhqcopy1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. PROCEED. OVER.",hq
STRM_Rhqcopy2,"PAPA BEAR TO ALPHA. UNDERSTOOD. OVER.",hq
STRM_Rhqcopy3,"PAPA BEAR TO ALPHA. COPY. GOOD WORK. OVER.",hq
STRM_Rhqcopy4,"PAPA BEAR TO ALPHA. ACKNOLWDGED. OVER.",hq

STRD_Rmissname,"Valley Breeze",missionname
STRL_Rload,"Valley",loadname
