LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE OBJECTIVE ONE. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. RUSSIAN FORCES HAVE BEEN NEUTRALIZED. OVER.",alpha

STRM_Rextract,"GET READY ALPHA WE ARE PICKING YOU UP NOW. OVER.",charlie
STRM_Rinsert,"INSERTION LANDING ZONE IN SIGHT. GET READY. OVER.",charlie
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. WE ARE RTB. OVER.",charlie

STRM_Rhqcopy1,"PAPA BEAR TO ALPHA BLACK. GOOD WORK. STAY ALERT OUT THERE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY THAT. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Hard Rock",missionname
STRL_Rload,"Its ambush time",loadname
