LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcallext,"ALPHA BLACK TO BRAVO. WE ARE READY FOR EXTRACTION. HURRY UP WILL YOU. OVER.",alpha
STRM_Rfoundthem1,"ALPHA TO PAPA BEAR. SPARROW FOUND. I REPEAT SPARROW FOUND. THEY ARE SAFE AND SOUND. OVER.",alpha
STRM_Rfoundthem2,"ALPHA TO PAPA BEAR. SPARROW FOUND. BAD NEWS, THEY ARE DEAD. OVER.",alpha

STRM_Rinsert,"LANDING ZONE IN SIGHT. GET READY PEOPLE. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. WE ARE HEADING FOR THE ORBIT STATION. OVER.",bravo
STRM_Rextract,"GET READY FOR EXTRACTION. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. MISSION ACCOMPLISHED. OH-58 CREW SAFE. GOOD WORK. OVER.",hq

STRD_Rmissname,"Safe Sparrow",missionname
STRL_Rload,"Search and Rescue",loadname
