LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE CLEARED OUT THE INTERSECTION. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. CHOKE POINT IS CLEARED. SEND IN THE TANKS. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. WE HAVE NEUTRALIZED ENEMY ARMOR THREAT. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. COPY. PROCEED. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. ROGER THAT. SENDING THE TANKS. OVER.",hq
STRM_Rreinf,"PAPA BEAR TO ALPHA. HEADS UP WE HAVE ENEMY ARMOR MOVEMENT IN THE WEST. GET READY TO REPEL ANY ATTACKS. OVER.",hq

STRD_Rmissname,"Infinite Jewel",missionname
STRL_Rload,"Take the intersection",loadname
