LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. MOUNTAIN ONE IS CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO IS COMPLETED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. COASTAL AREA IS CLEARED. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. COPY THAT. GOOD WORK. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD. STAY ALERT OUT THERE. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. ROGER. EXCELLENT JOB. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Nogova Star",missionname
STRL_Rload,"Into the mountains again",loadname
