LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rassault,"ALPHA BLACK TO BRAVO BLACK. GO GO GO. OVER.",alpha
STRM_Reastdead1,"ALPHA TO PAPA BEAR. MODRAVA IS CAPTURED. OVER.",alpha

STRM_Reastdead2,"BRAVO BLACK TO PAPA BEAR. BLUDOV IS CLEARED OUT. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT GOOD WORK. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO BRAVO BLACK. UNDERSTOOD. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALLF FORCES. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Private Property",missionname
STRL_Rload,"Assault time",loadname
