LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rassault,"ALPHA BLACK TO ALL FORCES. GO GO GO. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. THE SWEEP AREA IS CLEARED. PROCEEDING. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WOODS ARE CLEAR. I REPEAT WOODS ARE CLEAR. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. WE HAVE THE MOUNTAIN OBJECTIVE. ALPHA OUT.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. COPY THAT STAY SHARP. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. GOOD WORK OUT THERE. THE MISSION IS NOW ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Square Matrix",missionname
STRL_Rload,"Sweep through the landscape",loadname
