LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcallass,"ALPHA BLACK TO ALL FORCES. GO GO GO. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. KOST HAVE BEEN CAPTURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE SLAPY UNDER OUR CONTROL. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. LAST OBJECTIVE COMPLETED. ALPHA OUT.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. PROCEED WITH THE MISSION. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. ROGER THAT. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. GOOD WORK. MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Bat Eye",missionname
STRL_Rload,"Advances",loadname
